nct_id,title,status,phase,condition,brief_summary,eligibility_criteria,enrollment_count,start_date,completion_date,sponsor,plain_summary,key_eligibility_points
NCT00000620,Lifestyle Intervention for Glycemic Control in Type 2 Diabetes,COMPLETED,NA,Type 2 Diabetes Mellitus,"This study evaluates whether a structured diet and exercise intervention, delivered over 12 months, improves long-term blood glucose control compared to standard care in adults recently diagnosed with type 2 diabetes.",Inclusion Criteria: Adults aged 18-65; HbA1c between 7.0% and 10.0% at screening; diagnosed with type 2 diabetes within the past 5 years; able to participate in moderate physical activity. Exclusion Criteria: Type 1 diabetes; current insulin therapy; pregnancy; history of bariatric surgery; uncontrolled cardiovascular disease.,412,2019-03-01,2022-09-30,Northeastern Metabolic Research Institute,This clinical trial investigates whether a 12-month diet and exercise program can help people with type 2 diabetes control their blood sugar levels better than standard care. The goal is to see if this lifestyle intervention can lead to improved long-term health outcomes for adults recently diagnosed with type 2 diabetes.,"- You must be an adult between 18 and 65 years old.
- Your hemoglobin A1c (HbA1c) level, which measures average blood sugar control over time, should be between 7.0% and 10.0%.
- You must have been diagnosed with type 2 diabetes within the past five years.
- You need to be able to participate in moderate physical activity.
- If you have a history of certain health conditions or are currently taking insulin therapy, you may not be eligible for this trial."
NCT00001145,Safety and Efficacy of a Novel GLP-1 Agonist in Type 2 Diabetes,RECRUITING,PHASE3,"Type 2 Diabetes Mellitus, Obesity","A randomized, double-blind, placebo-controlled trial assessing the safety and glucose-lowering effect of a once-weekly injectable GLP-1 receptor agonist in adults with type 2 diabetes who are overweight or obese.",Inclusion Criteria: Adults 18 years or older; BMI of 27 or greater; HbA1c between 7.5% and 11.0%; on stable metformin therapy for at least 3 months. Exclusion Criteria: History of pancreatitis; personal or family history of medullary thyroid carcinoma; severe gastrointestinal disease; current use of another GLP-1 agonist or insulin.,1200,2024-01-15,2026-12-31,Horizon Therapeutics Research Division,"This clinical trial is testing a new medicine that helps people with type 2 diabetes control their blood sugar levels. The medicine is given as an injection once a week and aims to improve glucose control in overweight or obese adults with type 2 diabetes. If successful, this treatment could offer a more convenient and effective option for managing this condition.","- You must be at least 18 years old to participate.
- Your body mass index (BMI) should be 27 or higher.
- You must have had stable blood sugar control on metformin therapy for at least three months."
NCT00002873,Continuous Glucose Monitoring in Pediatric Type 2 Diabetes,ACTIVE_NOT_RECRUITING,NA,Type 2 Diabetes Mellitus,"This observational study examines whether continuous glucose monitoring devices improve glycemic awareness and outcomes in adolescents recently diagnosed with type 2 diabetes, compared to standard fingerstick monitoring.",Inclusion Criteria: Age 10-17 years; diagnosed with type 2 diabetes within the past 2 years; parent or guardian able to provide consent. Exclusion Criteria: Type 1 diabetes; current use of insulin pump; cognitive impairment preventing device use.,85,2022-06-01,2025-06-01,Children's Metabolic Health Network,This clinical trial is testing whether using continuous glucose monitoring devices can help teenagers with type 2 diabetes better understand and manage their blood sugar levels. The study aims to see if this technology improves outcomes for young people with a relatively new diagnosis of type 2 diabetes. It's a way to learn more about how to support kids living with this condition.,"- You must be between 10 and 17 years old
- You need to have been diagnosed with type 2 diabetes within the past two years
- A parent or guardian will need to give their consent for you to participate in the study"
NCT00003991,Telehealth Coaching for Diabetes Self-Management,COMPLETED,,Type 2 Diabetes Mellitus,"This study tests whether weekly telehealth coaching sessions focused on diet, medication adherence, and self-monitoring improve HbA1c and quality of life in adults with poorly controlled type 2 diabetes.",Inclusion Criteria: Adults 21 and older; HbA1c greater than 8.0% at enrollment; access to a smartphone or tablet with internet. Exclusion Criteria: Severe hearing or vision impairment preventing telehealth participation; current enrollment in another diabetes management program.,256,2020-02-01,2021-08-15,Eastside Community Health Partners,This clinical trial investigates whether regular coaching sessions through phone or tablet can help people with poorly controlled type 2 diabetes better manage their condition and improve their quality of life. The goal is to see if these sessions can lead to lower blood sugar levels and improved overall well-being. The study aims to answer an important question about how technology can support people living with diabetes.,"- You must be at least 21 years old to participate.
- Your average blood sugar level (HbA1c) should be above 8% when you join the study.
- You need access to a smartphone or tablet with internet to take part in the trial.
- You cannot already be participating in another diabetes management program."
NCT00004520,Gut Microbiome Changes Following Metformin Initiation,NOT_YET_RECRUITING,PHASE1,Type 2 Diabetes Mellitus,"This early-phase study characterizes how gut microbiome composition shifts in the first 12 weeks after starting metformin in newly diagnosed type 2 diabetes patients, to understand whether microbiome changes relate to drug response.","Inclusion Criteria: Adults 18-70; newly diagnosed type 2 diabetes, metformin-naive; willing to provide stool samples at 4 time points. Exclusion Criteria: Antibiotic use within the past 3 months; inflammatory bowel disease; prior bariatric surgery.",60,2026-09-01,2028-03-01,Binghamton University Metabolic Research Lab,"This clinical trial is studying how the bacteria in people's guts change when they start taking metformin, a common medication for type 2 diabetes. The researchers want to understand if these changes affect how well the medication works. By examining this relationship, they hope to gain insights into why some people respond better to metformin than others.","- You must be between 18 and 70 years old.
- You can only join the trial if you've just been diagnosed with type 2 diabetes and haven't taken metformin before.
- You need to be willing to provide stool samples at four different times during the study.
- You can't have taken antibiotics in the past three months.
- You shouldn't have inflammatory bowel disease or have had bariatric surgery in the past."
NCT03428802,"Pembrolizumab in Treating Participants With Metastatic, Recurrent or Locally Advanced Cancer and Genomic Instability",ACTIVE_NOT_RECRUITING,PHASE2,"BRCA1 Gene Mutation, BRCA2 Gene Mutation, Locally Advanced Solid Neoplasm, Metastatic Malignant Solid Neoplasm, POLD1 Gene Mutation, POLE Gene Mutation, Recurrent Malignant Solid Neoplasm, Recurrent Ovarian Carcinoma, Stage III Breast Cancer AJCC v7, Stage III Ovarian Cancer AJCC v8, Stage IIIA Breast Cancer AJCC v7, Stage IIIA Ovarian Cancer AJCC v8, Stage IIIB Breast Cancer AJCC v7, Stage IIIB Ovarian Cancer AJCC v8, Stage IIIC Breast Cancer AJCC v7, Stage IIIC Ovarian Cancer AJCC v8, Stage IV Breast Cancer AJCC v6 and v7, Stage IV Ovarian Cancer AJCC v8, Stage IVA Ovarian Cancer AJCC v8, Stage IVB Ovarian Cancer AJCC v8","This phase II trial studies how well pembrolizumab works in treating participants with cancer that has spread to other places in the body, has come back or has spread to nearby tissues or lymph nodes. Monoclonal antibodies such as, pembrolizumab, may interfere with the ability of tumor cells to grow and spread.","Inclusion Criteria: * Be willing and able to provide written informed consent/assent for the trial * Have a diagnosis of a tumor with evidence of genomic instability on Clinical Laboratory Improvement Amendments (CLIA) certified genomic testing, inclusive of mutations in POLE, POLD1 for arm 1 and in BRCA1 and BRCA2 for arm 2; in arm 2, enrollment of breast and ovarian histologies will be limited to a total of 10 patients * Have advanced cancer (metastatic, recurrent or locally advanced) and measurable disease based on Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 * Be willing to provide archived tumor tissue; tissue from the most obtained core or excisional biopsy of a tumor lesion is preferred; 20 unstained slides are preferred but a minimum of 15 slides will be acceptable; if adequate tissue is not present the patient may consent to a newly obtained biopsy * Have a performance status of 0 or 1 on the Eastern Cooperative Oncology Group (ECOG) performance scale * Absolute neutrophil count (ANC) \>= 1,500 /mcL, performed within 10 days of treatment * Platelets \>= 100,000 / mcL, performed within 10 days of treatment * Hemoglobin \>= 9 g/dL or \>= 5.6 mmol/L without transfusion or erythropoietin (EPO) dependency (within 7 days of assessment), performed within 10 days of treatment * Serum creatinine =\< 1.5 X upper limit of normal (ULN) OR Measured or calculated creatinine clearance \>= 60 mL/min for subject with creatinine levels \> 1.5 X institutional ULN (glomerular filtration rate \[GFR\] can also be used in place of creatinine or creatinine clearance \[CrCl\]), performed within 10 days of treatment * Serum total bilirubin =\< 1.5 X ULN OR direct bilirubin =\< ULN for subjects with total bilirubin levels \> 1.5 ULN, performed within 10 days of treatment * Aspartate aminotransferase (AST) (serum glutamic oxaloacetic transaminase \[SGOT\]) and alanine aminotransferase (ALT) (serum glutamic pyruvic transaminase \[SGPT\]) =\< 2.5 X ULN OR =\< 5 X ULN for subjects with liver metastases, performed within 10 days of treatment * Albumin \>= 2.5 mg/dL, performed within 10 days of treatment * International normalized ratio (INR) or prothrombin time (PT) =\< 1.5 X ULN unless subject is receiving anticoagulant therapy as long as PT or partial thromboplastin time (PTT) is within therapeutic range of intended use of anticoagulants, performed within 10 days of treatment * Activated partial thromboplastin time (aPTT) =\< 1.5 X ULN unless subject is receiving anticoagulant therapy as long as PT or PTT is within therapeutic range of intended use of anticoagulants, performed within 10 days of treatment * Female subject of childbearing potential should have a negative urine or serum pregnancy within 72 hours prior to receiving the first dose of study medication; if the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required * Female subjects of childbearing potential should be willing to use 2 methods of birth control or be surgically sterile, or abstain from heterosexual activity for the course of the study through 120 days after the last dose of study medication; subjects of childbearing potential are those who have not been surgically sterilized or have not been free from menses for \> 1 year * Male subjects should agree to abstinence or use of an adequate method of contraception starting with the first dose of study therapy through 120 days after the last dose of study therapy Exclusion Criteria: * Is currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 4 weeks of the first dose of treatment * Has a diagnosis of immunodeficiency that requires receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial treatment or has resulted in life threatening episodes previously regardless of current treatment * Has a known history of active TB (Bacillus tuberculosis) * Hypersensitivity to pembrolizumab or any of its excipients * Has had a prior anti-cancer monoclonal antibody (mAb) within 4 weeks prior to study day 1 or who has not recovered (i.e., =\< grade 1 or at baseline) from adverse events due to agents administered more than 4 weeks earlier * Has had prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks prior to study day 1 or who has not recovered (i.e., =\< grade 1 or at baseline) from adverse events due to a previously administered agent * Note: Subjects with =\< grade 2 neuropathy are an exception to this criterion and may qualify for the study * Note: If subject received major surgery, they must have recovered adequately from the toxicity and/or complications from the intervention prior to starting therapy * Has a known additional malignancy that is progressing or requires active treatment; exceptions include basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy or in situ cervical cancer, or malignancies that have been inactive for three years or exceptionally indolent; any current diagnosis of second malignancy requires approval from principal investigator and sponsor * Has known active central nervous system (CNS) metastases and/or carcinomatous meningitis; subjects with previously treated brain metastases may participate provided they are stable (without evidence of progression by imaging for at least four weeks prior to the first dose of trial treatment and any neurologic symptoms have returned to baseline), have no evidence of new or enlarging brain metastases, and are not using steroids for at least 30 days prior to trial treatment; patients who had oligometastatic disease treated with stereotactic radiation or gamma knife therapy may receive treatment 14 days after therapy as long as they are not requiring steroids; this exception does not include carcinomatous meningitis which is excluded regardless of clinical stability * Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs); replacement therapy (e.g., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment * Has known history of, or any evidence of active, non-infectious pneumonitis * Has an active infection requiring systemic therapy * Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject?s participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator * Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial * Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through 120 days after the last dose of trial treatment * Has received prior therapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agent * Has a known history of human immunodeficiency virus (HIV) (HIV 1/2 antibodies) * Has received a live vaccine within 30 days of planned start of study therapy * Note: Seasonal influenza vaccines for injection are generally inactivated flu vaccines and are allowed; however intranasal influenza vaccines (e.g., Flu-Mist) are live attenuated vaccines, and are not allowed * Tumors harboring non-hotspot POLE or POLD1 mutations that show clear evidence of microsatellite instability (MSI) will be excluded * Has known active hepatitis B (e.g., hepatitis B surface antigen \[HBsAg\] reactive) or hepatitis C (e.g., hepatitis C virus \[HCV\] ribonucleic acid \[RNA\] \[qualitative\] is detected)",21,2018-03-08,2027-09-21,"Rutgers, The State University of New Jersey","** This clinical trial is testing the effectiveness of an immunotherapy medication called pembrolizumab in treating people with certain types of advanced cancer. The goal is to see if this medication can help slow or stop the growth of tumors, even when they have spread to other parts of the body. The trial is particularly focused on people whose cancers have a specific type of genetic instability.

**","**
- You must be diagnosed with a tumor that has shown signs of genomic instability through genetic testing.
- Your cancer must be advanced (spread to other parts of the body, come back after treatment, or spread to nearby tissues) and measurable.
- You must have certain lab values within normal ranges before starting treatment, such as a high enough white blood cell count and not too low hemoglobin levels."
NCT04246502,Capecitabine Plus Pyrotinib Versus Capecitabine Plus Trastuzumab and Pertuzumab in the First-line Treatment of HER2-positive Metastatic Breast Cancer,UNKNOWN,PHASE2,Metastatic Breast Cancer,"This is a randomized, multicenter phase 2 clinical trial to evaluate the efficacy and safety of capecitabine plus pyrotinib versus capecitabine plus trastuzumab plus pertuzumab in patients who have HER2 positive metastatic breast cancer and have not received systemic anticancer therapy for advanced disease.","Inclusion Criteria: * HER2 positive recurrent or metastasis breast cancer. * Patients with measurable disease are eligible. * Eastern Cooperative Oncology Group(ECOG) performance status 0 or 1. * Adequate organ function. * Signed, written inform consent obtained prior to any study procedure. Exclusion Criteria: * History of anti-cancer therapy for MBC（with the exception of one prior hormonal regimen for MBC）. * History of HER tyrosine kinase inhibitors or monoclonal antibody for breast cancer in any treatment setting，except trastuzumab used in the neo-adjuvant or adjuvant setting. * Assessed by the investigator to be unable receive systemic chemotherapy. * History of other malignancy within the last 5 years，except for carcinoma in situ of cervix，basal cell carcinoma or squamous cell carcinoma of the skin that has been previously treated with curative intent. * Pregnant or lactating women，or for women of childbearing potential unwilling to use a highly-effective contraception during of the study treatment and for at least 7 months after the last dose of study treatment.",200,2020-01,2024-12,Shandong Cancer Hospital and Institute,This clinical trial is comparing two different treatments for HER2-positive breast cancer that has spread to other parts of the body. The researchers want to see which combination of medications - capecitabine plus pyrotinib or capecitabine plus trastuzumab and pertuzumab - works better at controlling the disease. This could help doctors make informed decisions about how to treat patients with this type of cancer.,"- You have HER2-positive breast cancer that has spread to other parts of your body.
- Your cancer is measurable, meaning it can be tracked and measured over time.
- You are able to receive chemotherapy and other treatments.
- You must not be pregnant or breastfeeding.
- You cannot have a history of certain types of treatments for this type of cancer."
NCT01091545,Malmö Breast Tomosynthesis Screening Trial,COMPLETED,NA,Breast Cancer,To compare digital breast tomosynthesis (DBT) with full field digital mammography (FFDM) regarding effectiveness as screening modalities.,"Inclusion Criteria: * women 40-74 years old * in the regular population based mammographic screening program in Malmö, Sweden. Exclusion Criteria: pregnancy and women not speaking English or Swedish \-",15000,2010-02-01,2019-09-30,Region Skane,"This clinical trial compared two different types of mammography machines to see which one is better at detecting breast cancer. The study tested digital breast tomosynthesis (DBT) against full field digital mammography (FFDM), and was done in a real-world setting where regular screenings are already taking place.","- Women between 40 and 74 years old were eligible to participate.
- They had to be part of the regular mammographic screening program in Malmö, Sweden.
- Women who were pregnant at the time of screening were not allowed to take part.
- Only women who spoke English or Swedish could participate."
NCT05749575,"Chidamide Plus PD-1 Plus Paclitaxel of Neoadjuvant Treatment in Low HR Expression,HER2-negative Early Breast Cancer.",UNKNOWN,PHASE2,Breast Cancer,"Triple-negative breast cancer has always been a difficult problem in clinical practice because of its young onset age, high aggressiveness, no clear therapeutic target and poor clinical prognosis. The treatment of triple-negative breast cancer is mainly chemotherapy, and in order to break the current dilemma, new treatments must be introduced. Immunotherapy is one of the most high-profile treatments. The KEYNOTE-522 study and Impassion 031 Study have found that immunotherapy can significantly improve the pCR of patients with triple yin breast cancer, rate, independent of PD-L1 expression status, and good safety.Cedardenamine is a histone deacetylation (HDAC) inhibitor developed in China.Many studies suggest that the use of sidabamine will likely enhance the efficacy of PD-1 / PD-L1 mAb in breast cancer and expand the use of PD-1 / PD-L1 mAb in the beneficiary population of breast cancer","Inclusion Criteria: 1.18-75 years old. 2.ECOG whole-body status (performance status , PS) grade 0 to 1. 3.ER and PR IHC showed \<10% staining and HER2 negative. 4.The patients who receive at least 2 neoadjuvant sessions with anthracycline are assessed to SD (4 anthracycline-containing sessions) or PD with breast MRI, CT or ultrasound according to the RECIST standard. 5.The patients refuse prior surgical treatment (the patient requires breast preservation, but it cannot be performed by surgical consultation), or it is not suitable for prior surgical treatment. 6.The main organ function is normal, that is, to meet the following criteria: 1. the criteria for blood routine examination: 1. ANC≥1.5×109/L； 2. PLT≥100×109/L； 3. Hb≥90g/L； 2. the criteria for biochemical examination: 1. TBIL\<1.5×ULN； 2. ALT and AST\<2.5×ULN； 3. BUN and Cr ≤ 1.5 × ULN or endogenous creatinine clearance rate ≥ 50ml/min (Cockcroft-Gault formula). 7.No malabsorption or other gastrointestinal disorders that affect drug absorption 8.Serum pregnancy tests for women of childbearing age must be negative within 7 days before treatment; all enrolled patients (whether male or female) should have adequate barrier contraception throughout the treatment period and within 4 weeks of treatment. 9.The subjects volunteer to join the study and sign informed consent, with good compliance and cooperated with follow-up. Exclusion Criteria: 1. Previous use of investigational drugs such as PD-1 or PD-L1 mAb; sidabamine or other HDAC inhibitors, and taxane-based chemotherapies (including paclitaxel or docetaxel). 2. Distant metastases, but enrollment could be considered if the distant metastatic lesion is confined to the ipsilateral cervical lymph exclusion criteria node only. 3. Unstable systemic disease (including active infection, poorly controlled hypertension, unstable angina pectoris, congestive heart failure, hepatic, renal, or metabolic disease, etc). 4. Any other malignancy within five years (except completely cured cervical carcinoma in situ or basal or squamous epithelial skin carcinoma). 5. For known human immunodeficiency virus (HIV) infection, hepatitis B virus carriers must be treated for anti-hepatitis B virus replication during antitumor therapy. 6. Prior history of clear neurological or psychiatric disorders, including epilepsy or dementia. 7. Pregnant or lactating women. 8. Any unstable or potentially jeopardizing patient safety and its compliance to the study. 9. Other situations that investigators think it is unsuitable for enrollment.",28,2023-02,2024-08,Sun Yat-sen University,"This clinical trial is testing a new treatment combination for triple-negative breast cancer (a type of aggressive and hard-to-treat breast cancer). The researchers are combining three different medications - chidamide, PD-1 inhibitor, and paclitaxel - to see if they can improve outcomes for patients with this disease. This trial matters because it could lead to a more effective treatment option for people with triple-negative breast cancer.","- You must be between 18 and 75 years old.
- Your body's overall health must be good, as measured by an Eastern Cooperative Oncology Group (ECOG) score of 0 or 1.
- You have been diagnosed with triple-negative breast cancer that has not spread to distant parts of your body."
